Material,Billing Doc.,Item,SALES OFFICE CODE,EXT MAT GROUP,MatGroup3,Star Rating,Segment,Star Rating.1,Stor. Location,SALES OFFICE CODE.1,SBU,Year,Month,Week,Billing Date,Customer,Material.1,Billing Quantity ODU,Billing Quantity IDU,Tonnage,Dealer Name,Tonnage.1
RKM35UV16W,2237005921,20,SBD1,RA-ODU,RA,I5S,Inverter,5 Star,1030,SBD1,RA,22-23,12) Mar,Wk 4,31/03/2023,"MR.Dinesh Babu Pilli ,",RKM35UV16W,1,0,1,CHILL AIR ENGINEERING,1
RKM50UV16V,2233030212,60,MAA,RA-ODU,RA,I5S,Inverter,5 Star,1030,MAA,RA,22-23,12) Mar,Wk 4,31/03/2023,COLD AIR CONDITIONING PVT LTD,RKM50UV16V,1,0,1.5,COLD AIR CONDITIONING PVT LTD,1.5
RKL60UV16U,2233030212,120,MAA,RA-ODU,RA,I3S,Inverter,3 Star,1030,MAA,RA,22-23,12) Mar,Wk 4,31/03/2023,COLD AIR CONDITIONING PVT LTD,RKL60UV16U,2,0,1.8,COLD AIR CONDITIONING PVT LTD,1.8
RKM35UV16W,2233030221,40,MAA,RA-ODU,RA,I5S,Inverter,5 Star,1030,MAA,RA,22-23,12) Mar,Wk 4,31/03/2023,COLD AIR CONDITIONING PVT LTD,RKM35UV16W,1,0,1,COLD AIR CONDITIONING PVT LTD,1
RKL50UV16V3,2233030221,100,MAA,RA-ODU,RA,I3S,Inverter,3 Star,1030,MAA,RA,22-23,12) Mar,Wk 4,31/03/2023,COLD AIR CONDITIONING PVT LTD,RKL50UV16V3,2,0,1.5,COLD AIR CONDITIONING PVT LTD,1.5
RKL35UV16W,2233030221,140,MAA,RA-ODU,RA,I3S,Inverter,3 Star,1030,MAA,RA,22-23,12) Mar,Wk 4,31/03/2023,COLD AIR CONDITIONING PVT LTD,RKL35UV16W,2,0,1,COLD AIR CONDITIONING PVT LTD,1
RKM60UV16U,2236025464,20,SBD,RA-ODU,RA,I5S,Inverter,5 Star,1030,SBD,RA,22-23,12) Mar,Wk 4,31/03/2023,COMFORT COOL SYSTEMS,RKM60UV16U,1,0,1.8,COMFORT COOL SYSTEMS,1.8
RKM60UV16U,2236025464,40,SBD,RA-ODU,RA,I5S,Inverter,5 Star,1030,SBD,RA,22-23,12) Mar,Wk 4,31/03/2023,COMFORT COOL SYSTEMS,RKM60UV16U,1,0,1.8,COMFORT COOL SYSTEMS,1.8
RKR50UV16U,2236025465,20,SBD,RA-ODU,RA,I5S,Inverter,5 Star,1030,SBD,RA,22-23,12) Mar,Wk 4,31/03/2023,COMFORT COOL SYSTEMS,RKR50UV16U,1,0,1.5,COMFORT COOL SYSTEMS,1.5
RKR50UV16U,2236025465,40,SBD,RA-ODU,RA,I5S,Inverter,5 Star,1030,SBD,RA,22-23,12) Mar,Wk 4,31/03/2023,COMFORT COOL SYSTEMS,RKR50UV16U,1,0,1.5,COMFORT COOL SYSTEMS,1.5
RKM50UV16V,2236025465,60,SBD,RA-ODU,RA,I5S,Inverter,5 Star,1030,SBD,RA,22-23,12) Mar,Wk 4,31/03/2023,COMFORT COOL SYSTEMS,RKM50UV16V,1,0,1.5,COMFORT COOL SYSTEMS,1.5
RKM50UV16U,2236500311,60,SBD,RA-ODU,RA,I5S,Inverter,5 Star,1030,SBD,RA,22-23,12) Mar,Wk 4,31/03/2023,COMFORT COOL SYSTEMS,RKM50UV16U,-7,0,1.5,COMFORT COOL SYSTEMS,1.5
RKM50UV16V,2233030188,160,MAA,RA-ODU,RA,I5S,Inverter,5 Star,1030,MAA,RA,22-23,12) Mar,Wk 4,31/03/2023,DARLING DIGITAL WORLD PVT LTD,RKM50UV16V,13,0,1.5,DARLING DIGITAL WORLD PRIVATE LIMIT,1.5
RKM50UV16V,2233030189,160,MAA,RA-ODU,RA,I5S,Inverter,5 Star,1030,MAA,RA,22-23,12) Mar,Wk 4,31/03/2023,DARLING DIGITAL WORLD PRIVATE LIMITED,RKM50UV16V,7,0,1.5,DARLING DIGITAL WORLD PRIVATE LIMIT,1.5
RKM50UV16V,2233030190,160,MAA,RA-ODU,RA,I5S,Inverter,5 Star,1030,MAA,RA,22-23,12) Mar,Wk 4,31/03/2023,DARLING DIGITAL WORLD PRIVATE LIMITED,RKM50UV16V,8,0,1.5,DARLING DIGITAL WORLD PRIVATE LIMIT,1.5
RKM50UV16V,2233030191,300,MAA,RA-ODU,RA,I5S,Inverter,5 Star,1030,MAA,RA,22-23,12) Mar,Wk 4,31/03/2023,DARLING DIGITAL WORLD PRIVATE LIMITED,RKM50UV16V,5,0,1.5,DARLING DIGITAL WORLD PRIVATE LIMIT,1.5
RKM50UV16V,2233030192,280,MAA,RA-ODU,RA,I5S,Inverter,5 Star,1030,MAA,RA,22-23,12) Mar,Wk 4,31/03/2023,DARLING DIGITAL WORLD PVT LTD,RKM50UV16V,4,0,1.5,DARLING DIGITAL WORLD PRIVATE LIMIT,1.5
RKM50UV16V,2233030193,300,MAA,RA-ODU,RA,I5S,Inverter,5 Star,1030,MAA,RA,22-23,12) Mar,Wk 4,31/03/2023,DARLING DIGITAL WORLD PRIVATE LIMITED,RKM50UV16V,4,0,1.5,DARLING DIGITAL WORLD PRIVATE LIMIT,1.5
RKM50UV16V,2233030194,300,MAA,RA-ODU,RA,I5S,Inverter,5 Star,1030,MAA,RA,22-23,12) Mar,Wk 4,31/03/2023,DARLING DIGITAL WORLD PRIVATE LIMITED,RKM50UV16V,4,0,1.5,DARLING DIGITAL WORLD PRIVATE LIMIT,1.5
RKM50UV16V,2233030195,260,MAA,RA-ODU,RA,I5S,Inverter,5 Star,1030,MAA,RA,22-23,12) Mar,Wk 4,31/03/2023,DARLING DIGITAL WORLD PRIVATE LIMITED,RKM50UV16V,4,0,1.5,DARLING DIGITAL WORLD PRIVATE LIMIT,1.5
RKM50UV16V,2233030196,220,MAA,RA-ODU,RA,I5S,Inverter,5 Star,1030,MAA,RA,22-23,12) Mar,Wk 4,31/03/2023,DARLING DIGITAL WORLD PRIVATE LIMITED,RKM50UV16V,1,0,1.5,DARLING DIGITAL WORLD PRIVATE LIMIT,1.5
RKM50UV16V,2233030197,220,MAA,RA-ODU,RA,I5S,Inverter,5 Star,1030,MAA,RA,22-23,12) Mar,Wk 4,31/03/2023,DARLING DIGITAL WORLD PRIVATE LIMITED,RKM50UV16V,1,0,1.5,DARLING DIGITAL WORLD PRIVATE LIMIT,1.5
RKM50UV16V,2233030198,220,MAA,RA-ODU,RA,I5S,Inverter,5 Star,1030,MAA,RA,22-23,12) Mar,Wk 4,31/03/2023,DARLING DIGITAL WORLD PRIVATE LIMITED,RKM50UV16V,2,0,1.5,DARLING DIGITAL WORLD PRIVATE LIMIT,1.5
RKM50UV16V,2233030199,220,MAA,RA-ODU,RA,I5S,Inverter,5 Star,1030,MAA,RA,22-23,12) Mar,Wk 4,31/03/2023,DARLING DIGITAL WORLD PRIVATE LIMITED,RKM50UV16V,2,0,1.5,DARLING DIGITAL WORLD PRIVATE LIMIT,1.5
RKL35UV16W,2236500308,20,SBD,RA-ODU,RA,I3S,Inverter,3 Star,1030,SBD,RA,22-23,12) Mar,Wk 4,31/03/2023,"Infiniti Retail Limited,",RKL35UV16W,-4,0,1,INFINITI RETAIL LIMITED,1
RKM50UV16V,2237005910,20,SBD1,RA-ODU,RA,I5S,Inverter,5 Star,1030,SBD1,RA,22-23,12) Mar,Wk 4,31/03/2023,"MR.SAI AKASH,",RKM50UV16V,1,0,1.5,KIM COOLS PROJECTS INDIA PVT LTD,1.5
RKL50UV16V3,2233030205,140,MAA,RA-ODU,RA,I3S,Inverter,3 Star,1030,MAA,RA,22-23,12) Mar,Wk 4,31/03/2023,M/S. Sathya Agencies (P) Ltd.,RKL50UV16V3,75,0,1.5,M/S. SATHYA AGENCIES (P) LTD.,1.5
RKL50UV16V3,2233030206,140,MAA,RA-ODU,RA,I3S,Inverter,3 Star,1030,MAA,RA,22-23,12) Mar,Wk 4,31/03/2023,M/S. Sathya Agencies (P) Ltd.,RKL50UV16V3,75,0,1.5,M/S. SATHYA AGENCIES (P) LTD.,1.5
RKL60UV16U,2233030208,160,MAA,RA-ODU,RA,I3S,Inverter,3 Star,1030,MAA,RA,22-23,12) Mar,Wk 4,31/03/2023,M/S. Sathya Agencies (P) Ltd.,RKL60UV16U,10,0,1.8,M/S. SATHYA AGENCIES (P) LTD.,1.8
